,VIOLATION_ID,VIOLATION_DESC,Unnamed: 14
0,1,Banners,
1,2,Proper Maintenance Req - Owner,
2,4,Proper Maintenance Req,
3,5,Building Permit Required,
4,6,Scope of Building Code,
5,7,Boarding Requirements,
6,8,Boarding of Vacant Buildings,
7,9,Vehicle In The Right-Of-Way,
8,10,Certificate of Compliance Required,
9,11,Certificate of Occupancy Required,
10,12,Chickens and Other Domestic Farm Animals,
11,13,Consignment Sale,
12,14,Overcrowding – Unrelated Adults,
13,15,Overcrowding – Group Home,
14,16,Dumping in permitted places,
16,17,Hours of Collection & Dumpster Required,
17,18,Electrical System Hazards,
18,19,Electrical System Certification,
19,20,Electrical Receptacles,
20,21,Electrical Equipment ,
21,22,Electrical Lighting Fixtures,
22,23,Electrical Facilities Required,
23,24,Electrical Service Panel,
24,25,Exterior Prop Area – Vehicles – Parking,
25,26,Exterior Prop Area – Acces Structures,
26,27,Exterior of Bldgs – Basement Hatchways,
27,28,Exterior of Buildings - Balconies,
28,29,Exterior of Bldgs – Chimneys and Towers,
29,30,Exterior of Buildings – Decks,
30,31,Exterior of Bldgs – Decorative Features,
31,32,Exterior Prop Area – Fences  Barbed Wire,
32,33,Exterior of Buildings – Doors,
33,34,Exterior of Buildings – Premises ID Res,
34,35,Extermination – Multiple Occupancy,
35,36,Extermination – Single Occupant,
36,37,Extermination – Owner,
37,38,Extermination Required,
38,39,Extermination – Occupant,
39,40,Exterior Prop Area – Exhaust Vents,
40,41,Exterior of Buildings – Exterior Walls,
41,42,Exterior of Buildings – Foundation Walls,
42,43,Exterior Prop Area – Fence Material Main,
43,44,Exterior Prop Area – Fencing Materials,
44,45,Exterior Prop Area – Gates,
45,46,Exterior of Bldgs – Guards Basement Wind,
46,47,Exterior of Buildings – Glazing,
47,48,Exterior Prop Area – Grading Required,
48,49,Exterior of Bldgs – Roofs– Gutter Sys,
49,50,Exterior of Bldgs – Handrails and Guards,
50,51,Exterior of Buildings – Openable Windows,
51,52,Exterior of Bldgs – Overhang Extensions,
52,53,Exterior of Bldgs – Premises ID Nonres,
53,54,Exterior of Bldg – Premises ID Multi-Fam,
54,55,Exterior of Buildings - Porches,
55,56,Exterior Prop Area – Designated Parking,
56,57,Exterior of Bldgs – Treatment Metal Sur,
57,58,Exterior of Bldgs – Treatment (Siding),
58,59,Exterior of Bldgs – Pro Treatment (Wood),
59,60,Exterior Repair – General,
60,61,Exterior Prop Area – Rodent Harborage,
61,62,Exterior of bldgs – Roofs– Drainage Sys,
62,63,Exterior of Bldgs – Roofs – Roof System,
63,64,Exterior Prop Area – Sanitation,
64,65,Exterior of Bldgs  Insect Screens Nonres,
65,66,Exterior of Bldgs – Insect Screens Res,
66,67,Exterior Prop Area – Sidewalks,
67,68,Exterior of Buildings – Stairways,
68,69,Exterior of Bldgs – Structural Members,
69,70,Exterior Prop Area – Swimming Pools,
70,71,Exterior Prop Area – Trailers Watercraft,
71,72,Exterior Prop Area – Veh – Inop/Unlc,
